Time,Humidity,Temperature,Voltage
2019-10-09 14:41:07.461854,55.29999923706055,24.200000762939453,12.28
2019-10-09 14:51:07.998615,55.099998474121094,24.100000381469727,12.284
2019-10-09 15:01:08.626548,55.20000076293945,24.799999237060547,12.448
2019-10-09 15:11:09.198747,56.20000076293945,25.5,12.42
2019-10-09 15:21:09.748511,55.29999923706055,26.299999237060547,12.428
2019-10-09 15:31:10.376585,54.29999923706055,26.899999618530273,12.404
2019-10-09 15:41:10.998474,52.79999923706055,27.399999618530273,12.396
2019-10-09 15:51:11.626361,51.70000076293945,27.799999237060547,12.4
2019-10-09 16:01:12.248621,50.599998474121094,28.100000381469727,12.392
2019-10-09 16:11:12.876723,49.79999923706055,28.299999237060547,12.376
2019-10-09 16:21:13.498619,49.20000076293945,28.399999618530273,12.352
2019-10-09 16:31:14.126782,49.0,28.5,12.332
2019-10-09 16:41:14.748634,48.70000076293945,28.5,12.328
2019-10-09 16:51:15.376551,48.599998474121094,28.600000381469727,12.32
2019-10-09 17:01:15.998580,48.599998474121094,28.600000381469727,12.304
2019-10-09 17:11:16.585737,48.599998474121094,28.700000762939453,12.32
2019-10-09 17:21:17.213716,48.70000076293945,28.700000762939453,12.304
2019-10-09 17:31:17.748618,48.70000076293945,28.700000762939453,12.28
2019-10-09 17:41:18.376443,49.0,28.799999237060547,12.268
2019-10-09 17:51:18.998512,48.900001525878906,28.799999237060547,12.252
2019-10-09 18:01:19.626505,49.0,28.899999618530273,12.268
2019-10-09 18:11:20.248516,49.0,28.899999618530273,12.248
2019-10-09 18:21:20.833692,49.0,29.0,12.228
2019-10-09 18:31:21.461615,49.0,28.899999618530273,12.24
2019-10-09 18:41:21.998574,49.0,28.899999618530273,12.212
2019-10-09 18:51:22.626591,49.099998474121094,28.899999618530273,12.224
2019-10-09 19:01:23.248612,49.20000076293945,28.899999618530273,12.216
2019-10-09 19:11:26.404680,49.5,28.799999237060547,12.204
2019-10-09 19:21:26.998457,49.5,28.799999237060547,12.192
2019-10-09 19:31:27.626211,49.599998474121094,28.799999237060547,12.18
2019-10-09 19:41:28.248431,49.79999923706055,28.799999237060547,12.184
2019-10-09 19:51:28.876494,49.900001525878906,28.700000762939453,12.172
2019-10-09 20:01:29.498717,50.099998474121094,28.700000762939453,12.144
2019-10-09 20:11:30.127151,50.20000076293945,28.700000762939453,12.128
2019-10-09 20:21:30.668865,50.400001525878906,28.700000762939453,12.124
2019-10-09 20:31:31.250804,50.400001525878906,28.700000762939453,12.116
2019-10-09 20:41:31.879015,50.5,28.700000762939453,12.12
2019-10-09 20:51:32.498729,50.70000076293945,28.700000762939453,12.112
2019-10-09 21:01:33.127058,50.70000076293945,28.600000381469727,12.1
2019-10-09 21:11:33.748782,50.900001525878906,28.600000381469727,12.116
2019-10-09 21:21:34.377003,50.79999923706055,28.600000381469727,12.108
2019-10-09 21:31:34.998780,50.70000076293945,28.600000381469727,12.1
2019-10-09 21:41:35.627037,50.79999923706055,28.600000381469727,12.088
2019-10-09 21:51:36.248825,50.900001525878906,28.600000381469727,12.06
2019-10-09 22:01:36.877115,50.900001525878906,28.600000381469727,12.08
2019-10-09 22:11:37.498789,50.900001525878906,28.600000381469727,12.068
2019-10-09 22:21:38.127097,50.900001525878906,28.600000381469727,12.048
2019-10-09 22:31:38.748761,50.900001525878906,28.600000381469727,12.048
2019-10-09 22:41:39.377053,50.900001525878906,28.600000381469727,12.056
2019-10-09 22:51:39.998746,50.900001525878906,28.600000381469727,12.04
2019-10-09 23:01:45.687117,50.900001525878906,28.5,12.044
2019-10-09 23:11:46.248767,50.900001525878906,28.5,12.024
2019-10-09 23:21:46.877018,50.900001525878906,28.600000381469727,12.032
2019-10-09 23:31:47.498743,50.79999923706055,28.5,12.028
2019-10-09 23:41:48.126990,50.79999923706055,28.5,11.988
2019-10-09 23:51:48.752073,50.79999923706055,28.5,12.016
2019-10-10 00:01:49.319204,50.79999923706055,28.5,12.008
2019-10-10 00:11:49.938645,50.900001525878906,28.5,11.984
2019-10-10 00:21:50.508846,50.900001525878906,28.399999618530273,11.972
2019-10-10 00:31:51.088107,51.0,28.5,11.996
2019-10-10 00:41:51.679504,51.0,28.399999618530273,11.992
2019-10-10 00:51:52.278884,51.099998474121094,28.399999618530273,11.964
2019-10-10 01:01:52.879535,51.099998474121094,28.399999618530273,11.972
2019-10-10 01:11:53.498402,51.20000076293945,28.399999618530273,11.952
2019-10-10 01:21:54.068775,51.400001525878906,28.399999618530273,11.968
2019-10-10 01:31:54.659413,51.70000076293945,28.399999618530273,11.952
2019-10-10 01:41:55.258548,51.900001525878906,28.399999618530273,11.956
2019-10-10 01:51:55.849063,52.20000076293945,28.399999618530273,11.952
2019-10-10 02:01:56.449713,52.400001525878906,28.399999618530273,11.94
2019-10-10 02:11:57.048836,52.79999923706055,28.399999618530273,11.948
2019-10-10 02:21:57.649443,52.900001525878906,28.299999237060547,11.924
2019-10-10 02:31:58.248570,53.099998474121094,28.299999237060547,11.936
2019-10-10 02:41:58.848547,53.400001525878906,28.299999237060547,11.908
2019-10-10 02:51:59.449698,53.599998474121094,28.299999237060547,11.928
2019-10-10 03:02:00.048849,53.79999923706055,28.299999237060547,11.924
