time
2019-09-26 15:51:19.529591
2019-09-26 15:56:19.630235
2019-09-26 16:01:19.731206
2019-09-26 16:06:19.832163
2019-09-26 16:11:19.933138
2019-09-26 16:16:20.034049
2019-09-26 16:21:20.134927
2019-09-26 16:26:20.235822
2019-09-26 16:31:20.336706
2019-09-26 16:36:20.437597
2019-09-26 16:41:20.538484
2019-09-26 16:46:20.639387
2019-09-26 16:51:20.740302
2019-09-26 16:56:20.841209
2019-09-26 17:01:20.942127
2019-09-26 17:06:20.976869
2019-09-26 17:11:21.077767
2019-09-26 17:16:21.178685
2019-09-26 17:21:21.242369
2019-09-26 17:26:21.289790
2019-09-26 17:31:21.390725
2019-09-26 17:36:21.491638
2019-09-26 17:41:21.592645
2019-09-26 17:46:21.693540
2019-09-26 17:51:21.794435
2019-09-26 17:56:21.895327
2019-09-26 18:01:21.996224
2019-09-26 18:06:22.097132
2019-09-26 18:11:22.198026
2019-09-26 18:16:22.298937
2019-09-26 18:21:22.399845
2019-09-26 18:26:22.500721
2019-09-26 18:31:22.601636
2019-09-26 18:36:22.702642
2019-09-26 18:41:22.803557
2019-09-26 18:46:22.904481
2019-09-26 18:51:23.005388
2019-09-26 18:56:23.106281
2019-09-26 19:01:23.207188
2019-09-26 19:06:23.308087
2019-09-26 19:11:23.409006
2019-09-26 19:16:23.447169
2019-09-26 19:21:23.478268
2019-09-26 19:26:23.579134
2019-09-26 19:31:23.680003
2019-09-26 19:36:23.780816
2019-09-26 19:41:23.881640
2019-09-26 19:46:23.982625
2019-09-26 19:51:24.083480
2019-09-26 19:56:24.184355
2019-09-26 20:01:24.285238
2019-09-26 20:06:24.386209
2019-09-26 20:11:24.487193
2019-09-26 20:16:24.588142
2019-09-26 20:21:24.689073
2019-09-26 20:26:24.789992
2019-09-26 20:31:24.890893
2019-09-26 20:36:24.991801
2019-09-26 20:41:25.092802
2019-09-26 20:46:25.193693
2019-09-26 20:51:25.294596
2019-09-26 20:56:25.395491
2019-09-26 21:01:25.496397
2019-09-26 21:06:25.597313
2019-09-26 21:11:25.698231
2019-09-26 21:16:25.799144
2019-09-26 21:21:25.900051
2019-09-26 21:26:26.000963
2019-09-26 21:31:26.101863
2019-09-26 21:36:26.202898
2019-09-26 21:41:26.303800
2019-09-26 21:46:26.404647
2019-09-26 21:51:26.505563
2019-09-26 21:56:26.606489
2019-09-26 22:01:26.707424
2019-09-26 22:06:26.808337
2019-09-26 22:11:26.909242
2019-09-26 22:16:27.010146
2019-09-26 22:21:27.111058
2019-09-26 22:26:27.138886
2019-09-26 22:31:27.143767
2019-09-26 22:36:27.148890
2019-09-26 22:41:27.154262
2019-09-26 22:46:27.156887
2019-09-26 22:51:27.162347
2019-09-26 22:56:27.167332
2019-09-26 23:01:27.169901
2019-09-26 23:06:27.175406
2019-09-26 23:11:27.178122
2019-09-26 23:16:27.181631
2019-09-26 23:21:27.187016
2019-09-26 23:26:27.191135
2019-09-26 23:31:27.196419
2019-09-26 23:36:27.200371
2019-09-26 23:41:27.205441
2019-09-26 23:46:27.210391
2019-09-26 23:51:27.213199
2019-09-26 23:56:27.217155
2019-09-27 00:01:27.221446
2019-09-27 00:06:27.225977
